@tax	con.depth.100.seq.bifido	con.depth.1000.seq.bifido	con.depth.10000.seq.bifido	con.depth.100000.seq.bifido	con.depth.500000.seq.bifido	conbif.200000	conbif.40000	conbif.80000
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_bouchesdurhonensis;t__Actinomyces_bouchesdurhonensis_Marseille-P2825	60	60	60	59	58	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_europaeus;t__Actinomyces_europaeus_UMB0652	39	39	39	39	34	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii;t__Actinomyces_graevenitzii_F0530	29	29	29	28	28	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii;t__Actinomyces_graevenitzii_UMB0286	32	32	32	32	29	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_naeslundii;t__Other	68	68	68	68	67	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Actinomyces_odontolyticus_ATCC_17982	20	20	20	20	19	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Actinomyces_odontolyticus_UMB0018	112	112	112	110	106	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Actinomyces_odontolyticus_XH001	67	67	67	65	63	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Other	50	49	49	49	45	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris;t__Actinomyces_oris_T14V	15	15	15	15	14	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris;t__Other	44	44	44	44	43	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._HMSC035G02;t__Actinomyces_sp._HMSC035G02_HMSC035G02	51	51	51	51	47	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._HPA0247;t__Actinomyces_sp._HPA0247_HPA0247	79	79	79	79	77	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_172;t__Actinomyces_sp._oral_taxon_172_F0311	165	165	165	164	161	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_181;t__Actinomyces_sp._oral_taxon_181_F0379	54	54	54	54	53	0	0	0
