tax	con.depth.100.seq.bifido	con.depth.1000.seq.bifido	con.depth.10000.seq.bifido	con.depth.100000.seq.bifido	con.depth.500000.seq.bifido	conbif.200000	conbif.40000	conbif.80000
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_bouchesdurhonensis;t__Actinomyces_bouchesdurhonensis_Marseille-P2825	5.56E-06	5.56E-06	5.56E-06	5.45E-06	5.28E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_europaeus;t__Actinomyces_europaeus_UMB0652	3.62E-06	3.62E-06	3.61E-06	3.60E-06	3.09E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii;t__Actinomyces_graevenitzii_F0530	2.69E-06	2.69E-06	2.69E-06	2.59E-06	2.55E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii;t__Actinomyces_graevenitzii_UMB0286	2.97E-06	2.97E-06	2.97E-06	2.96E-06	2.64E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_naeslundii;t__Other	6.30E-06	6.30E-06	6.30E-06	6.28E-06	6.10E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Actinomyces_odontolyticus_ATCC_17982	1.85E-06	1.85E-06	1.85E-06	1.85E-06	1.73E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Actinomyces_odontolyticus_UMB0018	1.04E-05	1.04E-05	1.04E-05	1.02E-05	9.65E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Actinomyces_odontolyticus_XH001	6.21E-06	6.21E-06	6.21E-06	6.00E-06	5.73E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus;t__Other	4.64E-06	4.54E-06	4.54E-06	4.53E-06	4.10E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris;t__Actinomyces_oris_T14V	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.27E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris;t__Other	4.08E-06	4.08E-06	4.08E-06	4.06E-06	3.91E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._HMSC035G02;t__Actinomyces_sp._HMSC035G02_HMSC035G02	4.73E-06	4.73E-06	4.73E-06	4.71E-06	4.28E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._HPA0247;t__Actinomyces_sp._HPA0247_HPA0247	7.32E-06	7.32E-06	7.32E-06	7.30E-06	7.01E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_172;t__Actinomyces_sp._oral_taxon_172_F0311	1.53E-05	1.53E-05	1.53E-05	1.51E-05	1.47E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_181;t__Actinomyces_sp._oral_taxon_181_F0379	5.01E-06	5.01E-06	5.00E-06	4.99E-06	4.82E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Other;t__Other	2.10E-05	2.10E-05	2.10E-05	2.09E-05	1.93E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella_pyogenes;t__Trueperella_pyogenes_331_TPYO	3.71E-06	3.71E-06	3.71E-06	3.60E-06	3.55E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella_pyogenes;t__Trueperella_pyogenes_TP6375	1.67E-06	1.67E-06	1.67E-06	1.66E-06	1.64E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia_omnicolens;t__Other	4.73E-06	4.73E-06	4.73E-06	4.71E-06	4.37E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_22L	0.000123866	0.000123769	0.000123726	0.000121924	0.000115662	6.03E-05	0.000126008	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_2789STDY5608824	0.000157057	0.000157052	0.00015672	0.000155176	0.000147967	0.000180884	0	9.11E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_2789STDY5608862	0.000167998	0.000167992	0.000167841	0.000166168	0.00015825	0.000253238	0.000441028	0.000303518
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_2789STDY5834850	0.000194236	0.000194229	0.000194069	0.000192215	0.000182456	0.000205002	0.000126008	0.000151759
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_ATCC_15703	0.000251625	0.000251617	0.000251252	0.000248282	0.000236147	0.00033765	0.000378024	0.00033387
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_BBMN23	0.000165309	0.000165303	0.000165246	0.000163304	0.00015643	0.000217061	0.000126008	0.000121407
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_L2-32	0.000146766	0.000146761	0.000146618	0.000144831	0.000137229	8.44E-05	0.000126008	9.11E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Other	0.006355813	0.006355139	0.006348671	0.006280196	0.005974562	0.006005354	0.005985383	0.006131059
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_angulatum;t__Bifidobacterium_angulatum_GT102	2.48E-05	2.48E-05	2.47E-05	2.45E-05	2.35E-05	0	0	0
